Prioritet;Navn;Land;Region;Website;Kontakt-URL;Email;Telefon;Status;Sidst kontaktet;Noter
1 - Top 5;Drops / Garnstudio;Norge;Nordisk;https://garnstudio.com;https://www.garnstudio.com/contact.php;media@garnstudio.com;+47 23 30 32 20;Kontaktet - afventer svar;2026-04-21;Første mail sendt 2026-04-21 til media@garnstudio.com. Brug media@ (presse) ikke contact@. Media-portal kræver login: media.garnstudio.com. EU-kontor i Sverige: export@garnstudio.com. Opfølgning planlagt 2026-05-05
1 - Top 5;Filcolana;Danmark;Nordisk;https://filcolana.dk;https://filcolana.dk;Anne Holt Kirkegaard (salgsansvarlig);+45 8688 2138;Kontaktet - afventer svar;2026-04-22;Første mail sendt 2026-04-22 direkte til Anne Holt Kirkegaard (salgsansvarlig). Opfølgning planlagt 2026-05-06. Allerede delvist i katalog (Tilia)
1 - Top 5;Sandnes Garn;Norge;Nordisk;https://sandnesgarn.no;https://sandnesgarn.no/kundeservice;;;Ikke kontaktet;;Sunday og Alpakka Silke populære
1 - Top 5;Hobbii;Danmark;Nordisk;https://hobbii.dk;https://hobbii.dk/kontakt;;;Ikke kontaktet;;Flere husmærker — én aftale dækker mange produkter
1 - Top 5;Knitting for Olive;Danmark;Nordisk;https://knittingforolive.com;https://knittingforolive.com/kontakt;;;Ikke kontaktet;;Meget populært dansk brand
2 - Høj;Isager;Danmark;Nordisk;https://isagerstrik.dk;https://isagerstrik.dk/kontakt;;;Ikke kontaktet;;Premium stor efterspørgsel
2 - Høj;Permin;Danmark;Nordisk;https://permin.dk;https://permin.dk/kontaktos;permin@permin.dk;+45 36 72 12 00;Kontaktet - afventer svar;2026-04-22;Første mail sendt 2026-04-22 til permin@permin.dk med tilgivelses-vinkel (Bella, Bella Color og Hannah allerede lagt ind i katalog). Opfølgning planlagt 2026-05-06. B2B-distributør — sælger ikke til private
2 - Høj;CaMaRose;Danmark;Nordisk;https://camarose.dk;https://camarose.dk/kontakt;;;Ikke kontaktet;;Eget garn og opskrifter
2 - Høj;Novita;Finland;Nordisk;https://novitaknits.com;https://novitaknits.com/kontakt;;;Ikke kontaktet;;Finlands største
2 - Høj;Mayflower;Danmark;Nordisk;https://mayflower.dk;https://hobbii.com/kontakt;;;Ikke kontaktet;;Ejet af Hobbii — kan evt. dækkes af Hobbii-aftale
